Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2022-10-05,11.53,11.65,783.98,781.76,781.76
2022-11-03,11.77,11.89,786.81,784.64,784.64
2022-09-30,11.75,11.87,779.51,777.29,777.29
2022-10-13,11.62,11.74,784.28,782.08,782.08
2022-11-16,13.09,13.21,770.15,768.04,768.04
2022-10-18,11.66,11.78,784.69,782.49,782.49
2022-10-26,11.85,11.97,783.85,781.67,781.67
2022-10-10,11.58,11.7,784.22,782.01,782.01
2022-09-29,11.88,12.0,777.14,774.92,774.92
2022-11-11,13.38,13.5,765.21,763.11,763.11
2022-11-22,13.43,13.55,766.79,764.7,764.7
2022-10-03,11.48,11.6,784.09,781.86,781.86
2022-11-08,12.04,12.16,783.79,781.63,781.63
2022-10-07,11.65,11.77,782.79,780.58,780.58
2022-09-28,11.73,11.85,779.14,776.91,776.91
2022-11-07,11.77,11.89,787.5,785.34,785.34
2022-10-27,11.91,12.03,783.29,781.11,781.11
2022-11-04,11.77,11.89,787.15,784.99,784.99
2022-10-20,11.71,11.83,784.61,782.42,782.42
2022-10-21,11.78,11.9,783.88,781.69,781.69
2022-10-14,11.72,11.84,783.08,780.88,780.88
2022-11-09,12.05,12.17,783.99,781.84,781.84
2022-11-01,11.74,11.86,786.91,784.74,784.74
2022-06-20,12.58,12.7,740.82,738.47,738.47
2022-09-14,12.01,12.13,771.28,769.05,769.05
2022-08-03,12.73,12.85,749.64,747.37,747.37
2022-09-06,11.86,11.98,771.94,769.68,769.68
2022-11-14,13.06,13.18,770.21,768.1,768.1
2022-11-23,13.78,13.9,762.22,760.14,760.14
2022-11-17,13.73,13.85,761.37,759.28,759.28
2022-10-17,11.72,11.84,783.42,781.22,781.22
2022-09-23,11.64,11.76,779.53,777.3,777.3
2022-09-21,11.9,12.02,774.75,772.52,772.52
2022-10-19,11.68,11.8,784.73,782.53,782.53
2022-07-22,13.39,13.51,736.25,733.99,733.99
2022-08-25,12.06,12.18,765.98,763.72,763.72
2022-09-26,11.83,11.95,776.88,774.66,774.66
2022-09-27,11.57,11.69,781.32,779.08,779.08
2022-09-02,11.8,11.92,772.21,769.95,769.95
2022-07-12,13.3,13.42,734.76,732.47,732.47
2022-07-15,13.18,13.3,737.77,735.49,735.49
2022-09-08,11.84,11.96,772.6,770.35,770.35
2022-08-15,11.93,12.05,765.33,763.04,763.04
2022-09-15,12.02,12.14,771.47,769.24,769.24
2022-08-17,11.95,12.07,765.69,763.4,763.4
2022-06-27,12.57,12.69,742.73,740.39,740.39
2022-11-24,13.72,13.84,763.46,761.38,761.38
2022-10-06,11.56,11.68,783.85,781.64,781.64
